,Autumn 2025 Assignment,Year in Program,"Will you TA for Autumn quarter?
","   If we cannot accommodate both a course and time request, which is more important?      ","
.120","
.124","
.125","
.126","
.134","
.208","
.Instructional Center Tutor","
.300","
.327","
.334","
.381","
.402","
.407","
.411","
.424","
.427","
.441","
.464","
.491","
.504","
.514","
.534","
.544","List any specific significant time conflicts on Tuesdays/Thursdays, such as seminars in your subject","Please include any additional comments here, including  RA/Fellowship details, any special understanding about what your TA job  will be, graduation plans, etc. "
1,Lead TA,4,Yes,Prioritize my time conflict request,,,,,,,,,,,,,,,,,,,,,,,,,I will be lead TA in Autumn quarter (not sure if I needed to fill this out). Thanks!
2,126 AA & AB,3,Yes,Prioritize my time conflict request,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,"I would like to attend algebraic geometry seminar and the student ag seminar. I believe the refular ag seminar is tuesdays at 2:30, but if possible id like to also be able to make the lunches. The student ag seminar has been held on thursdays before, but i am not sure when exactly it will be held in the fall. ",
3,RA,5,No,Prioritize my course request,,,,,,,,,,,,,,,,,,,,,,,,,I will be supported on a RAship by my advisor Soumik Pal. 
4,208D Grade,5,Yes,Prioritize my time conflict request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesday conflict with AG (pre-)seminar 12:30-3:30,
5,124 GC & GD,4,Yes,Prioritize my course request,Prefer to Avoid,Acceptable,Prefer to Avoid,Acceptable,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Preferred,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,,
6,124 FC & FD,4,Yes,Prioritize my course request,Acceptable,Acceptable,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Prefer to Avoid,Preferred,Acceptable,Prefer to Avoid,Acceptable,Preferred,Acceptable,Preferred,Prefer to Avoid,Acceptable,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,,
7,327 GRADE,5,Yes,Prioritize my time conflict request,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Acceptable,Acceptable,Preferred,Preferred,Acceptable,Preferred,Preferred,Acceptable,Preferred,Acceptable,Prefer to Avoid,Acceptable,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,8am -12pm,"I have been offered a teaching position at SeattleU in the fall, so it would be helpful to have a grading position vs an in person TA position. I'm supposed to graduate by June of 2026, so hopefully that's still the plan."
8,125 BA & BB,5,Maybe,Prioritize my time conflict request,Prefer to Avoid,Acceptable,Preferred,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Tuesdays before 10am and after 2:30pm; Thursdays before 10am,I submitted an application for teaching GRDSCH 200 and have yet to hear back. I’m also waiting to hear back from some other alternative funding options. 
9,126 CA & CB,6,Yes,Prioritize my course request,Preferred,Acceptable,Acceptable,Preferred,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,Prefer to Avoid,,
10,126 DE & DF,6,Yes,Prioritize my course request,,,,,,Acceptable,,,,,Acceptable,,Acceptable,,,,,Preferred,Preferred,,,,,,I would like to TA Jarod's AI (Math 581: Mathematics and AI) class if possible
