dept_abbrev_1,course_no,section_id,days_of_week,start_time,end_time
MATH  ,120,A ,M W F ,1230,120
MATH  ,120,AA, T R  ,830,920
MATH  ,120,AB, T R  ,930,1020
MATH  ,120,AC, T R  ,830,920
MATH  ,120,AD, T R  ,930,1020
MATH  ,124,A ,M W F ,1030,1120
MATH  ,124,AA, T    ,830,950
MATH  ,124,AA,   R  ,830,920
MATH  ,124,AB,   R  ,930,1020
MATH  ,124,AB, T    ,1000,1120
MATH  ,124,AC,   R  ,830,920
MATH  ,124,AC, T    ,830,950
MATH  ,124,AD, T    ,1000,1120
MATH  ,124,AD,   R  ,930,1020
MATH  ,124,AE,   R  ,830,920
MATH  ,124,AE, T    ,830,950
MATH  ,124,AF, T    ,1000,1120
MATH  ,124,AF,   R  ,930,1020
MATH  ,124,B ,M W F ,1130,1220
MATH  ,124,BA, T    ,1130,1250
MATH  ,124,BA,   R  ,1030,1120
MATH  ,124,BB, T    ,100,220
MATH  ,124,BB,   R  ,1130,1220
MATH  ,124,BC,   R  ,1030,1120
MATH  ,124,BC, T    ,1130,1250
MATH  ,124,BD, T    ,100,220
MATH  ,124,BD,   R  ,1130,1220
MATH  ,124,BE, T    ,1130,1250
MATH  ,124,BE,   R  ,1030,1120
MATH  ,124,BF,   R  ,1130,1220
MATH  ,124,BF, T    ,100,220
MATH  ,124,C ,M W F ,1230,120
MATH  ,124,CA,   R  ,230,320
MATH  ,124,CA, T    ,230,350
MATH  ,124,CB,   R  ,330,420
MATH  ,124,CB, T    ,400,520
MATH  ,124,CC, T    ,230,350
MATH  ,124,CC,   R  ,230,320
MATH  ,124,CD, T    ,400,520
MATH  ,124,CD,   R  ,330,420
MATH  ,124,CE,   R  ,230,320
MATH  ,124,CE, T    ,230,350
MATH  ,124,CF,   R  ,330,420
MATH  ,124,CF, T    ,400,520
MATH  ,124,D ,To be arranged,*   ,0
MATH  ,124,DA, T    ,1130,1250
MATH  ,124,DA,   R  ,1230,120
MATH  ,124,DB,   R  ,130,220
MATH  ,124,DB, T    ,100,220
MATH  ,124,DC, T    ,1130,1250
MATH  ,124,DC,   R  ,1230,120
MATH  ,124,DD, T    ,100,220
MATH  ,124,DD,   R  ,130,220
MATH  ,124,DE,   R  ,1230,120
MATH  ,124,DE, T    ,1130,1250
MATH  ,124,DF,   R  ,130,220
MATH  ,124,DF, T    ,100,220
MATH  ,125,A ,M W F ,830,920
MATH  ,125,AA, T    ,830,920
MATH  ,125,AA,   R  ,830,950
MATH  ,125,AB,   R  ,1000,1120
MATH  ,125,AB, T    ,930,1020
MATH  ,125,AC,   R  ,830,950
